FIPS,State,Area_Name,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022
48377,TX,Presidio County,"6,109","6,115","5,939"
48379,TX,Rains County,"12,178","12,449","12,823"
48381,TX,Randall County,"141,342","144,039","146,140"
48383,TX,Reagan County,"3,378","3,228","3,135"
48385,TX,Real County,"2,743","2,806","2,840"
48387,TX,Red River County,"11,560","11,547","11,542"
48389,TX,Reeves County,"14,763","13,002","12,905"
48391,TX,Refugio County,"6,742","6,700","6,632"
48393,TX,Roberts County,822,798,803
48395,TX,Robertson County,"16,771","16,948","17,153"
48397,TX,Rockwall County,"109,136","116,549","123,208"
48399,TX,Runnels County,"9,919","9,886","9,859"
48401,TX,Rusk County,"52,257","53,071","53,333"
48403,TX,Sabine County,"9,888","9,989","10,048"
48405,TX,San Augustine County,"7,923","7,900","7,857"
48407,TX,San Jacinto County,"27,531","27,829","28,348"
48409,TX,San Patricio County,"68,838","69,701","69,954"
48411,TX,San Saba County,"5,722","5,824","5,824"
48413,TX,Schleicher County,"2,445","2,443","2,357"
48415,TX,Scurry County,"16,937","16,830","16,686"
48417,TX,Shackelford County,"3,105","3,177","3,186"
48419,TX,Shelby County,"23,927","23,962","24,008"
48421,TX,Sherman County,"2,787","2,791","2,799"
48423,TX,Smith County,"234,195","237,114","241,922"
48425,TX,Somervell County,"9,204","9,472","9,757"
48427,TX,Starr County,"65,861","65,972","65,728"
48429,TX,Stephens County,"9,098","9,434","9,390"
48431,TX,Sterling County,"1,381","1,382","1,417"
48433,TX,Stonewall County,"1,245","1,208","1,182"
48435,TX,Sutton County,"3,355","3,284","3,217"
48437,TX,Swisher County,"6,946","6,996","6,881"
48439,TX,Tarrant County,"2,115,682","2,129,402","2,154,595"
48441,TX,Taylor County,"143,444","143,942","145,163"
48443,TX,Terrell County,750,720,693
48445,TX,Terry County,"11,794","11,721","11,567"
48447,TX,Throckmorton County,"1,453","1,508","1,550"
48449,TX,Titus County,"31,292","31,266","31,208"
48451,TX,Tom Green County,"120,194","119,250","118,892"
48453,TX,Travis County,"1,296,515","1,308,544","1,326,436"
48455,TX,Trinity County,"13,632","13,809","13,996"
48457,TX,Tyler County,"19,811","19,892","20,030"
48459,TX,Upshur County,"41,038","41,811","42,488"
48461,TX,Upton County,"3,301","3,241","3,152"
48463,TX,Uvalde County,"24,559","24,810","24,940"
48465,TX,Val Verde County,"47,605","47,589","47,606"
48467,TX,Van Zandt County,"59,749","61,200","62,859"
48469,TX,Victoria County,"91,303","90,897","91,065"
48471,TX,Walker County,"76,544","78,322","78,870"
48473,TX,Waller County,"57,304","59,474","61,894"
48475,TX,Ward County,"11,680","11,111","10,964"
48477,TX,Washington County,"35,805","35,898","36,159"
48479,TX,Webb County,"267,345","267,633","267,780"
48481,TX,Wharton County,"41,564","41,697","41,824"
48483,TX,Wheeler County,"4,976","4,905","4,807"
48485,TX,Wichita County,"129,617","130,006","129,978"
48487,TX,Wilbarger County,"12,844","12,688","12,491"
48489,TX,Willacy County,"20,150","20,290","20,143"
48491,TX,Williamson County,"615,517","644,451","671,418"
48493,TX,Wilson County,"50,051","51,281","52,735"
48495,TX,Winkler County,"7,750","7,373","7,306"
48497,TX,Wise County,"68,943","71,888","74,895"
48499,TX,Wood County,"45,041","46,031","46,857"
48501,TX,Yoakum County,"7,675","7,559","7,451"
48503,TX,Young County,"17,847","17,911","17,962"
48505,TX,Zapata County,"13,874","13,893","13,849"
48507,TX,Zavala County,"9,662","9,487","9,377"
